acct_stat_id,description,display_order,image_name,type,modified_ts
1,bytearray(b'Active'),1,bytearray(b'active1.gif'),bytearray(b'A'),2016-06-20 12:20:48
2,bytearray(b'Pending'),2,bytearray(b'pending.gif'),bytearray(b'O'),2016-06-20 12:20:48
3,bytearray(b'Final Bill'),3,bytearray(b'final-bill.gif'),bytearray(b'O'),2016-06-20 12:20:48
4,bytearray(b'Inactive'),4,bytearray(b'archive.gif'),bytearray(b'A'),2024-11-26 05:48:59
5,bytearray(b'Remove'),5,bytearray(b'final-bill.gif'),bytearray(b'O'),2016-06-20 12:20:48
6,bytearray(b'Add'),6,bytearray(b'pending.gif'),bytearray(b'O'),2023-08-28 06:06:19
7,bytearray(b'HoldOnNpmt'),7,bytearray(b'holdonnpmt.gif'),bytearray(b'O'),2016-06-20 12:20:48
8,bytearray(b'HoldOnReq'),8,bytearray(b'pending.gif'),bytearray(b'O'),2016-06-20 12:20:48
9,bytearray(b'FLOS'),9,bytearray(b'flos.gif'),bytearray(b'O'),2016-06-20 12:20:48
10,bytearray(b'Pending Active'),10,bytearray(b'pending.gif'),bytearray(b'A'),2016-06-20 12:20:48
11,bytearray(b'Pending Inactive'),11,bytearray(b'active1.gif'),bytearray(b'A'),2016-06-20 12:20:48
12,bytearray(b'Suspend'),12,bytearray(b'pending.gif'),bytearray(b'A'),2016-06-20 12:20:48
13,bytearray(b'Pending Suspend'),13,bytearray(b'pending.gif'),bytearray(b'A'),2016-06-20 12:20:48
14,bytearray(b'Involuntary Suspend'),14,bytearray(b'pending.gif'),bytearray(b'A'),2016-06-20 12:20:48
15,bytearray(b'New'),15,,bytearray(b'S'),2019-04-22 17:31:36
16,bytearray(b'Renew'),16,,bytearray(b'S'),2019-04-22 17:31:38
17,bytearray(b'Cancel'),17,,bytearray(b'S'),2019-04-22 17:31:40
18,bytearray(b'Expired'),18,,bytearray(b'S'),2019-04-22 17:31:41
20,bytearray(b'Partial Pending'),20,,bytearray(b'A'),2019-05-02 06:49:43
21,bytearray(b'Partial Active'),21,,bytearray(b'A'),2019-05-02 06:49:44
28,bytearray(b'New'),28,,,2019-04-23 06:43:23
29,bytearray(b'Renew'),29,,,2019-04-23 06:43:23
30,bytearray(b'Cancel'),30,,,2019-04-23 06:43:23
31,bytearray(b'Expired'),31,,,2019-04-23 06:43:23
32,bytearray(b'Trialist'),32,,bytearray(b'O'),2020-10-16 12:23:27
33,bytearray(b'Existing'),33,,bytearray(b'O'),2020-10-16 12:23:27
34,bytearray(b'Dunning'),34,,bytearray(b'O'),2020-10-16 12:23:27
35,bytearray(b'Pending Cancel'),35,,bytearray(b'O'),2020-10-16 12:23:28
36,bytearray(b'Churned Voluntary'),36,,bytearray(b'O'),2020-10-16 12:23:28
37,bytearray(b'Churned Involuntarily'),37,,bytearray(b'O'),2020-10-16 12:23:28
38,bytearray(b'Service Change'),38,,bytearray(b'O'),2020-10-16 12:23:28
39,bytearray(b'Pending Cancel - Trialist'),39,,bytearray(b'O'),2020-10-16 12:23:28
40,bytearray(b'Pending Cancel - Existing'),40,,bytearray(b'O'),2020-10-16 12:23:28
41,bytearray(b'Dunning Grace'),41,,bytearray(b'O'),2020-10-16 12:23:44
42,bytearray(b'Hold'),42,,bytearray(b'O'),2020-10-27 12:50:43
43,bytearray(b'Fail'),43,,bytearray(b'O'),2021-03-24 00:00:00
44,bytearray(b'Purchased'),44,,,2022-07-01 06:34:16
45,bytearray(b'Playing'),45,,,2022-07-01 06:34:17
46,bytearray(b'Consumed'),46,,,2022-07-01 06:34:17
47,bytearray(b'Existing - Expired'),47,,,2022-07-14 07:29:19
48,bytearray(b'Active - In Retries'),48,,,2022-07-14 14:24:01
49,bytearray(b'Active - Cancelled'),49,,,2022-07-14 14:24:01
50,bytearray(b'NONE'),50,,,2023-08-14 11:06:54
51,bytearray(b'Voluntary Suspend'),51,,,2024-02-20 16:39:58
52,bytearray(b'Pause'),52,,,2024-03-13 10:01:30
53,bytearray(b'Pending Downgrade'),53,,,2024-06-11 07:12:33
54,bytearray(b'Active - In Grace'),54,,bytearray(b'S'),2023-07-25 12:56:53
